,year,make,model,trim,vin,odometer,grade,price,province,claim,estimate,history_report,glass_record,repair,previous_repair,accident_repair,additional_repair,rebuild,total_disclosure_amount
137,2023,jeep,grand,other,1C4RJHBG4PC539565,"78,104",2.9,"$33,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,2023,lincoln,nautilus,reserve,2LMPJ8K97PBL04716,"54,898",2.9,"$33,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,2022,lincoln,nautilus,reserve,2LMPJ8K96NBL01013,"45,083",2.9,"$33,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2023,lincoln,nautilus,reserve,2LMPJ8K97PBL04862,"34,803",2.9,"$36,100",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,2022,lincoln,nautilus,reserve,2LMPJ8K97NBL02820,"90,681",2.9,"$26,500",kitchner,0.0,0.0,0.0,490.0,0.0,0.0,0.0,0.0,0.0,490.0
142,2008,chevrolet,avalanche,lt,3GNFK12328G252963,"209,936",2.9,"$4,300",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,2017,ford,escape,se,1FMCU9GD6HUA34930,"110,622",2.9,"$8,100",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,2018,toyota,sienna,xle,5TDDZ3DCXJS209449,"126,958",2.9,"$28,300",kitchner,12486.0,0.0,12486.0,0.0,0.0,0.0,0.0,0.0,0.0,12486.0
145,2015,nissan,sentra,other,3N1AB7AP2FL633102,"144,954",2.9,"$2,500",kitchner,0.0,9469.79,9469.79,0.0,0.0,0.0,12.0,0.0,0.0,9481.79
146,2016,hyundai,elantra,sport,KMHDH4AE9GU494885,"143,527",2.9,"$5,200",kitchner,1167.0,0.0,1167.0,0.0,0.0,0.0,0.0,0.0,0.0,1167.0
147,2005,chevrolet,corvette,other,1G1YY24UX55107581,"123,010",2.9,"$18,300",kitchner,2228.0,0.0,2228.0,0.0,0.0,0.0,0.0,0.0,0.0,2228.0
148,2016,nissan,versa,sl,3N1CE2CP1GL361952,"118,523",1.2,$400,kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,2019,buick,enclave,premium,5GAEVBKW7KJ283418,"131,201",3.8,"$21,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,2018,shasta,oasis,other,5ZT2SSVB8JE011369,1,2.9,"$9,750",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
